Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,12,-14.13,0.338709677,830.83,0.383064516,NA,0.213709677,137.21,0.383064516,85.23,0.383064516,NA,NA,0.213709677
2010,1,-13.76,0.931451613,833.14,1,14.71,0.419354839,99.32,1,85.92,0.995967742,13.19,97.73,0.419354839
2010,2,-14.5,0.84375,833.5,1,12.26,0.383928571,148.39,0.883928571,85.71,0.995535714,7.04,100.68,0.383928571
2010,3,-24.47,0.741935484,825.16,0.995967742,9.1,0.516129032,140.03,0.951612903,77.23,1,6.68,111.49,0.516129032
2010,4,-30.77,0.775,821.69,0.995833333,10.96,0.466666667,121.82,0.795833333,71.43,1,10.86,111.71,0.408333333
2010,5,-32.48,0.790322581,816.67,1,11.34,0.536290323,105.97,0.915322581,68.83,0.991935484,11.47,105.63,0.504032258
2010,6,-32.67,0.891666667,812.23,1,19.26,0.375,120.16,0.954166667,70.41,0.991666667,18.46,105.75,0.354166667
2010,7,-29.83,0.762096774,812.03,0.995967742,5.59,0.39516129,108.98,0.737903226,71.39,1,4.24,68.42,0.25
2010,8,-26.63,0.85483871,819.06,0.995967742,13.95,0.286290323,83.11,0.834677419,75.37,1,10.58,73.75,0.262096774
2010,9,-30.12,0.895833333,818.33,1,18.05,0.445833333,118.58,1,72.58,1,16.36,102.38,0.445833333
2010,10,-26.19,0.935483871,812.34,1,20.04,0.528225806,101.84,1,76.46,0.995967742,18.15,95.9,0.528225806
2010,11,-20.51,0.804166667,813.71,1,13.46,0.375,104.73,0.958333333,81.53,1,12,94.79,0.375
2010,12,-17.47,0.560483871,826.2,0.637096774,14.44,0.302419355,107.87,0.637096774,83.31,0.637096774,14.01,105.42,0.302419355
