Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1983,1,NA,0.189516129,996.51,0.483870968,2,0.439516129,131.85,0.443548387,NA,0,1.05,132.66,0.439516129
1983,2,-15.66,0.504464286,1002.32,1,2.64,0.866071429,143.2,0.848214286,NA,0,1.49,158.86,0.790178571
1983,3,-22.7,0.754032258,993.11,1,2.74,0.822580645,164.83,0.85483871,NA,0,1.27,177.54,0.758064516
1983,4,-20.33,0.766666667,987.38,0.991666667,3.04,0.745833333,189.43,0.908333333,NA,0,1.38,214.76,0.745833333
1983,5,-20.48,0.822580645,987.95,0.987903226,3.1,0.669354839,177.09,0.915322581,NA,0,1.3,192.6,0.669354839
1983,6,-34.53,0.683333333,990.67,0.970833333,1.98,0.658333333,151.4,0.6625,NA,0,0.47,175.99,0.570833333
1983,7,-35.55,0.741935484,983.1,1,1.97,0.689516129,146.19,0.673387097,NA,0,0.24,166.7,0.64516129
1983,8,-37.08,0.326612903,980.51,0.911290323,3.08,0.52016129,171.16,0.556451613,NA,0,1.97,211.08,0.423387097
1983,9,NA,0,985.4,0.991666667,1.87,0.625,156.79,0.625,NA,0,0.36,185.36,0.5375
1983,10,NA,0,971.67,1,2.99,0.766129032,187.04,0.862903226,NA,0,1.18,215.67,0.713709677
1983,11,NA,0,974.78,0.804166667,2.82,0.575,185.55,0.7375,NA,0,1.54,212.28,0.575
