Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2008,12,NA,0.120967742,NA,0.185483871,NA,0.157258065,NA,0.185483871,NA,0.185483871,NA,NA,0.157258065
2009,1,NA,0.137096774,NA,0.237903226,NA,0.233870968,NA,0.237903226,NA,0.237903226,NA,NA,0.233870968
2009,2,NA,0.535714286,NA,0.71875,NA,0.5625,NA,0.714285714,NA,0.71875,NA,NA,0.5625
2009,3,NA,0.467741935,NA,0.491935484,NA,0.35483871,NA,0.475806452,NA,0.491935484,NA,NA,0.35483871
2009,4,NA,0.245833333,NA,0.275,NA,0.133333333,NA,0.2375,NA,0.275,NA,NA,0.133333333
2009,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2010,1,NA,0.092741935,NA,0.125,NA,0.092741935,NA,0.125,NA,0.125,NA,NA,0.092741935
2010,2,NA,0.723214286,920.21,1,4.1,0.821428571,197.26,0.995535714,83.65,1,1.02,306.14,0.821428571
2010,3,-12.38,0.923387097,911.5,0.987903226,3.89,0.762096774,189.88,0.947580645,84.39,0.987903226,0.44,327.94,0.762096774
2010,4,-17.46,0.933333333,906.59,0.983333333,NA,0.716666667,189.15,0.954166667,82.98,0.983333333,NA,NA,0.716666667
2010,5,NA,0.564516129,NA,0.572580645,NA,0.375,NA,0.419354839,NA,0.572580645,NA,NA,0.375
2010,6,-24.56,0.891666667,899.04,0.9375,NA,0.645833333,209.24,0.841666667,78.66,0.9375,NA,NA,0.645833333
2010,7,-29.56,0.862903226,891.16,0.891129032,NA,0.532258065,225.76,0.77016129,78.89,0.891129032,NA,NA,0.532258065
2010,8,NA,0.576612903,NA,0.629032258,NA,0.35483871,NA,0.47983871,NA,0.629032258,NA,NA,0.35483871
2010,9,-23.71,0.9,906.58,0.920833333,NA,0.608333333,NA,0.741666667,78.45,0.920833333,NA,NA,0.608333333
2010,10,-19.22,0.903225806,901.06,1,2.78,0.858870968,186.32,0.991935484,70.45,1,1.34,204.31,0.858870968
2010,11,-14.58,0.975,900.65,1,4.19,0.7875,194.51,0.991666667,75.6,1,0.9,285.82,0.7875
2010,12,NA,0.149193548,NA,0.165322581,NA,0.14516129,NA,0.161290323,NA,0.165322581,NA,NA,0.14516129
2011,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
