Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1988,12,NA,0,NA,0.032258065,NA,0,NA,0,NA,0,NA,NA,0
1989,1,-3.62,0.830645161,987.74,1,5.62,0.810483871,233.38,0.955645161,55.7,1,4.08,311.22,0.810483871
1989,2,-11.44,0.946428571,986.87,1,NA,0.535714286,277.18,0.866071429,47.72,1,NA,NA,0.535714286
1989,3,-17.72,0.97983871,987.6,0.995967742,NA,0.60483871,296.91,0.834677419,49.98,1,NA,NA,0.60483871
1989,4,-19.95,0.9375,991.44,0.9625,NA,0.541666667,294.84,0.954166667,41.13,0.9625,NA,NA,0.541666667
1989,5,-25.44,0.967741935,976.41,0.97983871,NA,0.532258065,307.08,0.959677419,37.2,0.97983871,NA,NA,0.532258065
1989,6,-29.28,0.945833333,985.25,1,NA,0.508333333,305.67,0.883333333,36.45,1,NA,NA,0.508333333
1989,7,-24.91,0.947580645,984.46,1,NA,0.451612903,289,0.919354839,40.17,1,NA,NA,0.435483871
1989,8,-27.77,0.955645161,989.14,0.991935484,NA,0.419354839,312.4,0.875,34.91,0.991935484,NA,NA,0.419354839
1989,9,-21.61,0.908333333,988.26,0.975,NA,0.379166667,297.91,0.95,35.58,0.979166667,NA,NA,0.379166667
1989,10,-18.76,0.919354839,979.53,0.967741935,NA,0.5,300.06,0.842741935,39.86,0.967741935,NA,NA,0.5
1989,11,NA,0.725,977.21,0.808333333,NA,0.479166667,NA,0.658333333,48.87,0.808333333,NA,NA,0.479166667
1989,12,-1.71,0.975806452,991.73,0.987903226,NA,0.076612903,NA,0.088709677,58.46,0.983870968,NA,NA,0.072580645
1990,1,-3.62,1,991.31,1,NA,0.02016129,NA,0.02016129,61.09,0.931451613,NA,NA,0.02016129
1990,2,-10.73,0.9375,984.04,1,NA,0.683035714,220.02,0.986607143,60.77,0.995535714,NA,NA,0.683035714
1990,3,-18.51,0.991935484,988.82,0.987903226,NA,0.709677419,213.47,0.995967742,50.33,1,NA,NA,0.709677419
1990,4,-24.91,0.9625,997.05,0.970833333,NA,0.6375,214.38,0.9625,37.74,0.970833333,NA,NA,0.6375
1990,5,-24.5,0.935483871,1001.81,0.935483871,NA,0.600806452,213.67,0.919354839,43.55,0.935483871,NA,NA,0.600806452
1990,6,-25.56,0.933333333,992.4,0.970833333,NA,0.6,215.64,0.9625,40.49,0.970833333,NA,NA,0.6
1990,7,-21.11,0.955645161,1000.63,0.995967742,NA,0.524193548,217.66,0.919354839,46.8,1,NA,NA,0.524193548
1990,8,-27.15,0.975806452,985.77,0.991935484,NA,0.568548387,209.94,0.991935484,35.89,0.991935484,NA,NA,0.568548387
1990,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,10,-18.57,0.939516129,984.92,1,NA,0.641129032,208.03,0.987903226,41.07,1,NA,NA,0.641129032
1990,11,-8.02,0.966666667,986.3,1,NA,0.729166667,222.95,0.983333333,49.11,0.991666667,NA,NA,0.729166667
1990,12,-1.57,0.810483871,987.16,1,4.05,0.810483871,226.09,0.963709677,58.46,1,2.27,235.8,0.810483871
