Year,Month,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2013,1,NA,0.564516129,905.67,0.77016129,NA,0.693548387,146.29,0.77016129,73.96,0.77016129,NA,NA,0.693548387
2013,2,-8.68,0.933035714,897.17,1,NA,0.727678571,114.59,0.977678571,83.76,1,NA,NA,0.727678571
2013,3,NA,0.487903226,NA,0.5,NA,0.290322581,NA,0.415322581,NA,0.5,NA,NA,0.290322581
2013,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2013,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2014,12,-8.63,0.778225806,898.05,0.875,7.52,0.75,109.09,0.870967742,73.18,0.875,6.58,85.33,0.75
2015,1,-6.53,0.89516129,900.35,1,NA,0.713709677,122.09,0.899193548,78.86,1,NA,NA,0.713709677
2015,2,-8.42,0.888392857,896.49,1,NA,0.732142857,94.14,0.888392857,78.85,1,NA,NA,0.732142857
2015,3,-14.54,0.947580645,894.72,1,NA,0.705645161,122.99,0.891129032,74.38,1,NA,NA,0.705645161
2015,4,-16,0.925,889.75,1,NA,0.354166667,NA,0.458333333,82.84,1,NA,NA,0.354166667
2015,5,-15.34,0.911290323,902.38,0.991935484,NA,0.495967742,NA,0.649193548,76.93,0.991935484,NA,NA,0.495967742
